elevation,long,lat,generated_temp
127.35356,146.2457282546581,-38.44789416031552,18.17220186
8.138053,146.96438048195373,-38.44789416031552,18.9471026555
0.0,147.68303270924932,-38.44789416031552,19.0
881.8241,146.2457282546581,-37.7292419330199,13.268143349999999
290.65973,146.96438048195373,-37.7292419330199,17.110711755
156.04745,147.68303270924932,-37.7292419330199,17.985691575
60.109093,148.40168493654494,-37.7292419330199,18.6092908955
66.0803,149.12033716384056,-37.7292419330199,18.57047805
0.57424206,149.83898939113618,-37.7292419330199,18.99626742661
0.0,150.5576416184318,-37.7292419330199,19.0
535.6632,146.2457282546581,-37.010589705724286,15.5181892
827.0506,146.96438048195373,-37.010589705724286,13.6241711
887.626,147.68303270924932,-37.010589705724286,13.230431
691.41223,148.40168493654494,-37.010589705724286,14.505820504999999
771.31537,149.12033716384056,-37.010589705724286,13.986450095
140.1745,149.83898939113618,-37.010589705724286,18.08886575
0.0,150.5576416184318,-37.010589705724286,19.0
199.28763,146.2457282546581,-36.291937478428665,17.704630405
359.1488,146.96438048195373,-36.291937478428665,16.6655328
686.15796,147.68303270924932,-36.291937478428665,14.53997326
1578.3523,148.40168493654494,-36.291937478428665,8.74071005
960.5586,149.12033716384056,-36.291937478428665,12.7563691
231.12074,149.83898939113618,-36.291937478428665,17.49771519
0.0,150.5576416184318,-36.291937478428665,19.0
121.07765,146.2457282546581,-35.57328525113305,18.212995275
235.13654,146.96438048195373,-35.57328525113305,17.47161249
385.54645,147.68303270924932,-35.57328525113305,16.493948075
894.61176,148.40168493654494,-35.57328525113305,13.185023560000001
838.9363,149.12033716384056,-35.57328525113305,13.546914050000002
670.741,149.83898939113618,-35.57328525113305,14.6401835
0.0,150.5576416184318,-35.57328525113305,19.0
126.71858,146.2457282546581,-34.85463302383743,18.17632923
181.46048,146.96438048195373,-34.85463302383743,17.82050688
309.99612,147.68303270924932,-34.85463302383743,16.98502522
419.85504,148.40168493654494,-34.85463302383743,16.27094224
575.7838,149.12033716384056,-34.85463302383743,15.2574053
664.0371,149.83898939113618,-34.85463302383743,14.68375885
43.19426,150.5576416184318,-34.85463302383743,18.71923731
0.0,151.27629384572742,-34.85463302383743,19.0
0.0,151.99494607302304,-34.85463302383743,19.0
